,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Ba Xolele - 729 Street Vocal","Dzo 729",7811,https://open.spotify.com/track/66qOuPxn0XSg27YLKpdExn
55,"Already Dead","Juice WRLD",7791,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
56,"Do It To It",ACRAZE,7768,https://open.spotify.com/track/20on25jryn53hWghthWWW3
57,"Impilo yaseSandton","Kweyama Brothers",7749,https://open.spotify.com/track/2Q7chNue0LxoNT4iKSyfbo
58,2055,"Sleepy Hallow",7661,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
59,"The Business",Tiësto,7620,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
60,Isphithiphithi,"Pabi Cooper",7608,https://open.spotify.com/track/7GHKr2Fg86xWObxTnz26vK
61,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,7604,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
62,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,7589,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
63,"Blinding Lights","The Weeknd",7584,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
64,Ghost,"Justin Bieber",7495,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
65,"Meet Me At Our Spot","THE ANXIETY",7412,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
66,Possible,"DBN Gogo",7352,https://open.spotify.com/track/6ARmMd93cqRGYDP0XC6JH7
67,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,7343,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
68,"Kiss Me More (feat. SZA)","Doja Cat",7305,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
69,"ESCAPE PLAN","Travis Scott",7304,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
70,"Need to Know","Doja Cat",7298,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
71,"Mjolo for Who",Msaki,7288,https://open.spotify.com/track/5ZWI3tqmoIhahzWUqrp008
72,"Tshivhidzwela Amapiano",TuksinSA,7255,https://open.spotify.com/track/4bTDY7z3hULGxQX5iqaOwD
73,"family ties (with Kendrick Lamar)","Baby Keem",7166,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
74,"When We Were Young",Adele,7075,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
75,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,6995,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
76,"good 4 u","Olivia Rodrigo",6963,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
77,"Girls Want Girls (with Lil Baby)",Drake,6924,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
78,"Phakade Lami","Nomfundo Moh",6882,https://open.spotify.com/track/6wQvbzsxSLKqYrPc26jd9S
79,"Thando Lwami","Musa Keys",6881,https://open.spotify.com/track/13Db24vcZvtNwKKU290bfA
80,Banyana,"DJ Maphorisa",6853,https://open.spotify.com/track/3rj4UYvUttaCsXNEuEqAyy
81,abcdefu,GAYLE,6844,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
82,Toxic,BoyWithUke,6838,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
83,"Sal Jy Bly","Theuns Jordaan",6808,https://open.spotify.com/track/13cZuZKQT5X7u7vFeLQGnT
84,"Iy’ntsimbi zase envy","Reece Madlisa",6786,https://open.spotify.com/track/1EI3kxTD1xp8afUUnWc6tS
85,"Kan Jou Nie My Maak Liefhê","Demi Lee Moore",6736,https://open.spotify.com/track/7z2XNvZUJX41J5nYazKGdS
86,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",6633,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
87,"At All",evvz,6587,https://open.spotify.com/track/6FjmpC78dRHLwcWT7cHMyf
88,"MONTERO (Call Me By Your Name)","Lil Nas X",6582,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
89,"Tekkies Brand","Irene-Louise Van Wyk",6569,https://open.spotify.com/track/6iMPMrSlrIi272VQgvqCCF
90,"Some Old Song","Vigro Deep",6553,https://open.spotify.com/track/56POgs11RxnUz7ghayZeOV
91,"BABY BLUE 4’s","Shane Eagle",6499,https://open.spotify.com/track/1gFRWEKDNZAtrb1P4g7QHq
92,"Leave The Door Open","Bruno Mars",6489,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
93,Siyathandana,"Cassper Nyovest",6486,https://open.spotify.com/track/1NaxpfTsKPGG3Dpw6Fnv35
94,"Umsebenzi Wethu","Busta 929",6468,https://open.spotify.com/track/2H1hYPeKgIQAp439cx7GsX
95,"The Motto",Tiësto,6238,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
96,"Vat 'n Bietjie","Riaan Benadé",6211,https://open.spotify.com/track/1u69vEZpvkC9eV9bv6kxm5
97,"Head & Heart (feat. MNEK)","Joel Corry",6194,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
98,Mntakababa,Msaki,6153,https://open.spotify.com/track/78QV7b6ZKczo5lT0c1Rce2
99,"Someone Like You",Adele,6153,https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
100,Awoa,"UNLIMITED SOUL",6063,https://open.spotify.com/track/5M89cRY3rjyaaLLmqx80Aa
101,"Make You Feel My Love",Adele,5994,https://open.spotify.com/track/273QnyCvJB65rScHJ1nPZb
102,Danko,Musketeers,5989,https://open.spotify.com/track/0GL7uWv0R3NVJ584jjzTBX
103,"Someone You Loved","Lewis Capaldi",5978,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
104,"Watermelon Sugar","Harry Styles",5969,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
105,"Levitating (feat. DaBaby)","Dua Lipa",5965,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
106,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",5960,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
107,"Love In The Dark",Adele,5915,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
108,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,5896,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
109,"LiYoshona - Main Mix","Kwiish SA",5872,https://open.spotify.com/track/32dzOvkFzmjEPjPidQRxU4
110,"Airplane Mode","MDU aka TRP",5844,https://open.spotify.com/track/2t2RhuBxMfhjzeLPsBfPAy
111,MAFIA,"Travis Scott",5832,https://open.spotify.com/track/08F16baYbciTva9P4BvpiI
112,"My Universe",Coldplay,5820,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
113,"Life Of The Party (with André 3000)","Kanye West",5712,https://open.spotify.com/track/2yBb1CRq98SSWRuDSn36SZ
114,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",5681,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
115,"Rolling in the Deep",Adele,5594,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
116,MONEY,LISA,5556,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
117,Hurricane,"Kanye West",5527,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
118,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",5521,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
119,"Own Brand Freestyle",FelixThe1st,5517,https://open.spotify.com/track/1p2VYcXdvno7iVQOOmYkEs
120,"Life Goes On","Oliver Tree",5484,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
121,Temptation,"MDU aka TRP",5461,https://open.spotify.com/track/5A41EMznk0fW7kWDkGeJ4A
122,"Mood (feat. iann dior)",24kGoldn,5439,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
123,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,5430,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
124,Beggin',Måneskin,5420,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
125,Acapulco,"Jason Derulo",5413,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
126,"Phuze - Remix","Dlala Thukzin",5408,https://open.spotify.com/track/7AyIRe0g7fobaymXh9IXqx
127,"Net Voor Die Storm Kom","Theuns Jordaan",5403,https://open.spotify.com/track/6akZnpHEOeCB6CKJPqgZDi
128,MEMORIES!,347aidan,5383,https://open.spotify.com/track/27XMmSWSOXJ7eVb40tH93T
129,"Take My Breath","The Weeknd",5320,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
130,"Ungangi Bambi (feat. Khanyisa)","Mr JazziQ",5280,https://open.spotify.com/track/4WFtz7J6aNHwRJVctT1gcs
131,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",5226,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
132,"No Love (with SZA)","Summer Walker",5221,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
133,"Before You Go","Lewis Capaldi",5180,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
134,"Send My Love (To Your New Lover)",Adele,5160,https://open.spotify.com/track/563SfWAHJs4FBZMkRN0IFN
135,"All of This - Scorpion Kings Remix","Jorja Smith",5146,https://open.spotify.com/track/7m4idt9DsjSA0vcLxfsROE
136,Wamuhle,Njelic,5129,https://open.spotify.com/track/3wbr62bpX7B3Mw5ullGD8Z
137,Hello,Adele,5026,https://open.spotify.com/track/1Yk0cQdMLx5RzzFTYwmuld
138,"Happier Than Ever","Billie Eilish",5007,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
139,"Ayi Ringi (feat. Simmy & Kabza De Small)","Soa Mattrix",4976,https://open.spotify.com/track/6KMsiShDJrospawhS74nzw
140,"you broke me first","Tate McRae",4944,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
141,Woza,"Mr JazziQ",4906,https://open.spotify.com/track/3830LcxTUk1zTWA51f5xfF
