,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
56,"Tú Me Dejaste De Querer","C. Tangana",112693,https://open.spotify.com/track/5ddFjrPG8NgQQ6xlOQIVd2
57,Miénteme,TINI,107569,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
58,"Flamenco y Bachata","Daviles de Novelda",105741,https://open.spotify.com/track/6ynErSDSlxqsxg0D3LJ8sK
59,"Oh Na Na","Camila Cabello",105160,https://open.spotify.com/track/03NqHNdG3Ur6kciQWK6e8V
60,Berlín,Aitana,103767,https://open.spotify.com/track/5N5GaRpXYZl5ZKKU5a5LtH
61,"Se Menea","Don Omar",103530,https://open.spotify.com/track/1ZcrHpBbILPNfhBtPhQVHh
62,DÁKITI,"Bad Bunny",100859,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
63,"Juramento eterno de sal","Álvaro De Luna",99676,https://open.spotify.com/track/23E53f3C9SJ9MqBh1f6hEw
64,Soñar,Morad,99196,https://open.spotify.com/track/3lI1sZnyM1Ju3ApgNo0ITT
65,"Bad Habits","Ed Sheeran",98989,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
66,"Una Nota","J Balvin",98627,https://open.spotify.com/track/7iqOIHHEmu6Vhw25GgQ2eA
67,"Ella - Remix",Boza,94698,https://open.spotify.com/track/7iHHlCbsFou5DZSW5HCPfs
68,"La Niña de la Escuela","Lola Indigo",93364,https://open.spotify.com/track/1g4cZvi0nLeeIycd0Rkljj
69,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",93196,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
70,Shivers,"Ed Sheeran",92810,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
71,"Rakata - Remix","Moncho Chavea",90328,https://open.spotify.com/track/7kbKXgIpWuljf9WUYoelqg
72,"Un beso de improviso","Ana Mena",89825,https://open.spotify.com/track/0NSLB3GCpO9SU69XH8jjiF
73,"#RapSinCorte L",Foyone,87246,https://open.spotify.com/track/5ZaPIvSXtTxrj8yXnUx0wd
74,"AM Remix","Nio Garcia",86409,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
75,"Clima Tropical","Dani Fernández",86180,https://open.spotify.com/track/7wD6WAp1lowdxnvEfgyvNV
76,Sobrio,Maluma,86104,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
77,Bandido,"Cyril Kamer",85672,https://open.spotify.com/track/46uq7ujuDTwd5ltc027ovw
78,"En Mi Cuarto","Jhay Cortez",85554,https://open.spotify.com/track/2Doh4izLZGrUD3yOSs9y9G
79,"Strangers By Nature",Adele,85520,https://open.spotify.com/track/13CVSGLSFl4UxpDVR6u3dq
80,Bar,TINI,85519,https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC
81,"Tu Y Yo (feat. Los del Control)",Cano,84461,https://open.spotify.com/track/5pVEORKrVAtcWOEMJlZCFB
82,"Llueve sobre mojado","Pablo Alborán",84260,https://open.spotify.com/track/3z4XtoZVf8AOoR18Lnp7e1
83,"love nwantiti (ah ah ah)",CKay,84222,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
84,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",82495,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
85,"911 - Remix",Sech,81709,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
86,"A Un Paso De La Luna","Ana Mena",81680,https://open.spotify.com/track/7ql2RUmAmj36tkMUNWo7MT
87,"De Perreo",Marlon,80067,https://open.spotify.com/track/7Men0McTVqAHxfVrRCzb41
88,"Don't Go Yet","Camila Cabello",79280,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
89,Beggin',Måneskin,77853,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
90,"Vida de Rico",Camilo,77776,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
91,"My Little Love",Adele,77535,https://open.spotify.com/track/2DuPBbS5mIldXnh7Wum8Cy
92,"Can I Get It",Adele,75630,https://open.spotify.com/track/6w8ZPYdnGajyfPddTWdthN
93,París,Ingratax,74880,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
94,"SHORTY QUE TE VAYA BN <3","Rels B",73974,https://open.spotify.com/track/3CQDFLetMMxD5hzAnUk410
95,"Emojis de Corazones (feat. Los Legendarios)",Wisin,73456,https://open.spotify.com/track/5Mw46yRtdiOdjqSG0eDItr
96,"23 Preguntas","Anuel AA",72289,https://open.spotify.com/track/5ANkjNH7elrxzggidjnH9v
97,Fulanito,"Becky G",72255,https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg
98,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,71352,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
99,"Aquel Nap ZzZz","Rauw Alejandro",70592,https://open.spotify.com/track/2qyLvNLktrdc67OgaayqMW
100,"Heat Waves","Glass Animals",70063,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
101,"Entre Nosotros","Tiago PZK",69944,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
102,"Dos Días al Mes",Hens,69204,https://open.spotify.com/track/4Ws1SBzrc8MgbtxVyXFfyP
103,"Do It To It",ACRAZE,68697,https://open.spotify.com/track/20on25jryn53hWghthWWW3
104,"La Curiosidad","Jay Wheeler",68546,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
105,"Porfa no te vayas",Beret,68216,https://open.spotify.com/track/4J2HLNTxiVxxs6kWgTIN43
106,"I Drink Wine",Adele,68058,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
107,"Canción Bonita","Carlos Vives",67633,https://open.spotify.com/track/5iF33sXejXwfTuidVHMll0
108,Instinto,YEИDRY,67575,https://open.spotify.com/track/7eQ1a5DgRxRnyrhNM7Kql5
109,2/Catorce,"Rauw Alejandro",67386,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
110,"Cry Your Heart Out",Adele,67226,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
