,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
58,2CB,"RAF Camora",176840,https://open.spotify.com/track/2r9gIpt17PhZv0y2nCpFHC
59,"Love Tonight - Edit",Shouse,175912,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
60,"I Drink Wine",Adele,174063,https://open.spotify.com/track/6v0UJD4a2FtleHeSYVX02A
61,"Friendships (Lost My Love)","Pascal Letoublon",168838,https://open.spotify.com/track/0lQ2obtzmAsJu9xk3D6FqH
62,Raindrops,"Katja Krasavice",167742,https://open.spotify.com/track/3sZOiHgkXpDcilUBtHSixK
63,"THATS WHAT I WANT","Lil Nas X",166621,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
64,"All I Want for Christmas Is You","Mariah Carey",164711,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
65,"Cry Your Heart Out",Adele,159343,https://open.spotify.com/track/09u787BYeYIGd2mFIJ505t
66,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",156709,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
67,"Because You Move Me",Tinlicker,155154,https://open.spotify.com/track/1F80MEkZA9yTlpMQp9dhht
68,"Dein Song",CRO,152516,https://open.spotify.com/track/4VIyBZioj5khxauaZJexks
69,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,151290,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
70,Mosaik,"kid kapri",149573,https://open.spotify.com/track/3x9fMzoAPNxEFVrP6kU1f7
71,"Rostov on Don","Sun Diego",149561,https://open.spotify.com/track/4M8GB0FRzH2DT5rn9enPUk
72,"good 4 u","Olivia Rodrigo",148649,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
73,"Max Payne","FGUN $HAKI",147195,https://open.spotify.com/track/4vCWrAXbjytsZiribGEsej
74,"Ich selbst",O.G.,145730,https://open.spotify.com/track/1QycAbcTx2dVMmUmX8IhnJ
75,"Last Christmas",Wham!,145703,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
76,"One Right Now (with The Weeknd)","Post Malone",144306,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
77,Colorado,"Milky Chance",144086,https://open.spotify.com/track/35iR1qzexmbcUSgA01S4gI
78,Beggin',Måneskin,138050,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
79,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",137722,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
80,"love nwantiti (ah ah ah)",CKay,137289,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
81,UNTOUCHABLE,"18 Karat",135427,https://open.spotify.com/track/5to4HYfbhlNzAtWXhU73kQ
82,Guapa,"RAF Camora",135359,https://open.spotify.com/track/5FsV0biZgb8tmQtau5LxKz
