,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"GHOST TOWN","Benson Boone",14911,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
56,"Overpass Graffiti","Ed Sheeran",14840,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
57,"Sabotage (Vain elämää kausi 12)",ABREU,14463,https://open.spotify.com/track/4HjdUKo04Rn9faKukJEhyt
58,"Kolmas pyörä (Vain elämää kausi 12)","Arttu Wiskari",13989,https://open.spotify.com/track/3jvzWK02cFFse1SRxwNX5i
59,"Usko toivo rakkaus","Vilma Alina",13906,https://open.spotify.com/track/3BK9rE2G4blj5eycm1CvrF
60,"Already Dead","Juice WRLD",13542,https://open.spotify.com/track/7qM1BWAsZMTYh4BcYLb0uQ
61,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",13536,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
62,"Taivas maan päällä",Ilta,13504,https://open.spotify.com/track/3Fy2xX68usyByATSTstJL1
63,"Happier Than Ever","Billie Eilish",13491,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
64,Sattuu,"Kaija Koo",13152,https://open.spotify.com/track/2W6lJ6yW8zj02BL7QwaG1y
65,"Blinding Lights","The Weeknd",13042,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
66,"We Are No Saints","Blind Channel",12908,https://open.spotify.com/track/3BPdKJxzfJX63N7LYLDpI6
67,"good 4 u","Olivia Rodrigo",12439,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
68,Woman,"Doja Cat",12415,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
69,"Ystävänpäivä (Vain elämää kausi 12)",ABREU,12020,https://open.spotify.com/track/5m59t6QEzY5AJKipDMtoJQ
70,"Hei rakas",BEHM,11951,https://open.spotify.com/track/2XaewhXngZd2Zi4ijFIkK0
71,"Huonoja ideoita","Antti Tuisku",11933,https://open.spotify.com/track/2bfks3jz83TLx3LsX5BTEZ
72,Kyläbaari,"Portion Boys",11885,https://open.spotify.com/track/0QO1QnI4tOXLwtgXQmVqPA
73,"Tuu mua vastaan (Vain elämää kausi 12)","Anssi Kela",11765,https://open.spotify.com/track/6HfW9sQEczoAXbIdDTJpH0
74,Pepas,Farruko,11706,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
75,"Do It To It",ACRAZE,11393,https://open.spotify.com/track/20on25jryn53hWghthWWW3
76,Tatuoitu,Pihlaja,11272,https://open.spotify.com/track/1xTPrhEKfbJaGGs2VIMDd3
77,"Piilotan mun kyyneleet","Haloo Helsinki!",11140,https://open.spotify.com/track/4FMR3LE9lxvhgVLErzNQRc
78,"ZITTI E BUONI",Måneskin,11120,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
79,"Dark Side","Blind Channel",11095,https://open.spotify.com/track/1ovFnZv6mUe0LzAbfVqOmh
80,"Sama poika (Vain elämää kausi 12)","Jukka Poika",10905,https://open.spotify.com/track/41mznSqza0Gz28bZMAj6gA
81,"Elämä on nyt",Titta,10817,https://open.spotify.com/track/14qgbm3jrTC9R5UZ5pRZqz
82,"Samma gamla vanliga",A36,10641,https://open.spotify.com/track/4wGFTaengFG4o6nYZAK1Xg
83,"Most People (with Lukas Graham)",R3HAB,10480,https://open.spotify.com/track/3qGzO7CnDHKRT7KrR2JPFJ
84,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,10451,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
85,"Valitsisin sut","Juha Tapio",10417,https://open.spotify.com/track/5s2fUGB8Cw08rBxlMKm9Ge
86,Matkustaja,Egotrippi,10392,https://open.spotify.com/track/5esJb63Nbi1LeG0v4NyKTt
87,"Penelope (feat. Clever)",william,10328,https://open.spotify.com/track/677ly6xN6EUbIL8FPltKle
88,"Smokin Out The Window","Bruno Mars",10291,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
89,"MONTERO (Call Me By Your Name)","Lil Nas X",10220,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
90,"love nwantiti (ah ah ah)",CKay,10175,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
91,"Terveisin Doris",Mariska,9975,https://open.spotify.com/track/6s5aPRXxLJ6gtdSViCTr3u
92,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",9873,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
93,Acapulco,"Jason Derulo",9871,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
94,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,9842,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
95,"All I Want for Christmas Is You","Mariah Carey",9760,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
96,"Kriisit (feat. Rajaton) [Vain elämää kausi 12]","Suvi Teräsniska",9752,https://open.spotify.com/track/6YbWu29zvFpTsHBMv1M5NR
97,Pahanilmanlinnut,Vesala,9451,https://open.spotify.com/track/6U2bhONwFgYbdcYi33dAl3
98,"Last Christmas",Wham!,9434,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
99,"Esson baariin",Poju,9431,https://open.spotify.com/track/2SNZVqgDiiuOUe2qPOW1m1
100,"Sweater Weather","The Neighbourhood",9408,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
101,Snowman,Sia,9345,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
102,Ghost,"Justin Bieber",9302,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
103,Lupaan,BEHM,9136,https://open.spotify.com/track/2kcW8pChyGW3GYjEoBUyok
104,Bored,"Billie Eilish",9087,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
105,"Take My Breath","The Weeknd",9047,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
106,"Syntisten pöytä","Erika Vikman",9040,https://open.spotify.com/track/5Cwd5i7wxWH9szTN1i1GFK
107,"Another Love","Tom Odell",8853,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
108,Unstoppable,Sia,8791,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
109,"Gröna Lund",Ellinoora,8746,https://open.spotify.com/track/5g9eiltzjUKWr9GR4Ma2VP
110,Silmät,Gettomasa,8732,https://open.spotify.com/track/1rYP6R16sM0uSlxrqzR5pM
111,"Concorde & Al Capone",Rekami,8704,https://open.spotify.com/track/1VqfOFD2Ph0qbmxiHdiMHo
112,"Rolling in the Deep",Adele,8650,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
113,Thunder,"Gabry Ponte",8589,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
114,"Miten sydämet toimii? (Vain elämää kausi 12)","Suvi Teräsniska",8565,https://open.spotify.com/track/0DBfBLaQk4qGKu2L3uEqxy
115,"It’s You, Not Me (Sabotage)","Masked Wolf",8554,https://open.spotify.com/track/25KdKEMSgcufpcbdp8y1EJ
116,"Without Me",Eminem,8525,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
117,"Ikuinen vappu",JVG,8525,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU
118,"Viisi kesää",BESS,8489,https://open.spotify.com/track/1fPYFdAdQNFL9rpZPxR2FN
119,"My Universe",Coldplay,8469,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
120,"Ujo poika","Jenni & Juho",8449,https://open.spotify.com/track/3EPp192QQ528uYFYZ9nrE0
121,Kiitos,"Frans Harju",8437,https://open.spotify.com/track/45Cs68MzrPdX2qLTB4OuZv
122,"Save Your Tears","The Weeknd",8417,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
123,"Tässäkö tää oli? (feat. Leavings-Orkesteri)","Arttu Wiskari",8416,https://open.spotify.com/track/2zCm9ss98FeOedrnKar2vM
124,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,8396,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
125,"Need to Know","Doja Cat",8382,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
126,"Ympyrää (feat. Bizi)",william,8224,https://open.spotify.com/track/7EJpQekCDptBuE2yw0Dj2n
127,Täydelliset,Aurora,8136,https://open.spotify.com/track/4UAUAqistICl5YeiOpDtq8
128,Vainoharhainen,Fabe,8124,https://open.spotify.com/track/72Uar5YVhVU2OfVWDK1zAp
129,"The Real Slim Shady",Eminem,8121,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
130,"Kelle mä soitan",Ilta,8100,https://open.spotify.com/track/0JaJLSes2LpFGit36B7tzm
131,"Cändi Kingi",Poju,8058,https://open.spotify.com/track/3MmGzvjvGY9jjNHa5EyCA5
132,"Laineet (Vain elämää kausi 12)",ABREU,7980,https://open.spotify.com/track/12wxMb290Ty8grRXjsG62V
133,"Liike on lääke",JVG,7894,https://open.spotify.com/track/2Wkxml4dRbAyXHQSCFh0lK
134,"Kiss Me More (feat. SZA)","Doja Cat",7852,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
135,"Bad Man (Smooth Criminal)","Polo G",7822,https://open.spotify.com/track/6RfhBNU1FPWTG7VESlfgOl
136,Enchanted,"Taylor Swift",7818,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
137,Ruoste,"Ideaali & Jay Who?",7811,https://open.spotify.com/track/1LzNp2YaD9z7yWq6R4g46p
138,"Life (Sun luo)",Cledos,7738,https://open.spotify.com/track/3qw9rbM22j7TauihIva5Js
139,"Valmiina futaa","Ege Zulu",7681,https://open.spotify.com/track/0MDLQGQ0txcIdo440A1q7N
140,100,Kube,7677,https://open.spotify.com/track/2ow5N6XgoRzetarNaVY2wq
141,"Epäkohtelias (feat. Axel Kala & Gettomasa)",Pyrythekid,7645,https://open.spotify.com/track/24uhB5aOxhMHuPnjLlsioj
142,"abcdefu (angrier)",GAYLE,7630,https://open.spotify.com/track/1EQFOouqdKYdpbNoOHRVO2
143,"ESCAPE PLAN","Travis Scott",7580,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
144,"Päästä varpaisiin",BEHM,7547,https://open.spotify.com/track/3VsTpdea6RXkvbwLBjiCB9
145,"No Fun","Armin van Buuren",7534,https://open.spotify.com/track/2yYb6Ru1cwcDUBS4txRYQL
146,"Ei olla enää",william,7522,https://open.spotify.com/track/4P9Tg68yYCJ7hljVvIs07h
147,"Muijii stadis",Gettomasa,7522,https://open.spotify.com/track/2JjDXcC82gp21CV2WxP10k
148,DEUTSCHLAND,Rammstein,7517,https://open.spotify.com/track/2bPGTMB5sFfFYQ2YvSmup0
149,MAMMAMIA,Måneskin,7513,https://open.spotify.com/track/78SCmQ8A7KQSMdkem2SwBP
150,"Levitating (feat. DaBaby)","Dua Lipa",7494,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
151,Halleluja,Kasmir,7491,https://open.spotify.com/track/5jdXBRE1XIRH7CN6k4xzQK
152,"It's Beginning to Look a Lot like Christmas","Michael Bublé",7431,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
153,"Klassikko - Vain elämää kausi 12",Pyhimys,7425,https://open.spotify.com/track/0TSMbNlOu7BfAIV3GiHxMO
154,3D-kriisit,Apulanta,7425,https://open.spotify.com/track/0InoveSvHSQmUDFto4ZqAg
155,Rasputin,Majestic,7411,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
156,Tivolit,BEHM,7315,https://open.spotify.com/track/6Su0vZAluexLSzvXR0V5hV
157,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,7306,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
158,Aavikko,"Lauri Tähkä",7273,https://open.spotify.com/track/26tRJottEBj78dqKREPeBT
159,"Ykspuolista rakkautta","Mikael Gabriel",7264,https://open.spotify.com/track/09OKeUmjlDdj6qc5bBFZxG
160,"20 Ave Mariaa",ABREU,7252,https://open.spotify.com/track/2SREBxoqvxhB0wQHgLeNVI
161,666,Kiki,7228,https://open.spotify.com/track/7aP68E6dMvQ54Mu41Omke4
162,Fantasiaa,"Ege Zulu",7227,https://open.spotify.com/track/19YstlPhgqRPZjwOiK0tOn
163,"Way 2 Sexy (with Future & Young Thug)",Drake,7209,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
164,"Close Your Eyes",KSHMR,7201,https://open.spotify.com/track/3h2aYVv7RHnOW0qGGYdYIT
165,Jättiläinen,Pyhimys,7195,https://open.spotify.com/track/3bEc0e8OHd73jfhSjXMoKb
166,"Gangsta's Paradise",Coolio,7158,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
167,"Joulun kanssas jaan (feat. Cantores Minores)","Haloo Helsinki!",7148,https://open.spotify.com/track/3RCxl6HWK4ADOzMbY8FZCw
168,"Love In The Dark",Adele,7119,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
169,Ukkometso,"Pate Mustajärvi",7051,https://open.spotify.com/track/1r8mABSC4rx9CMNIC8rCFi
170,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",7039,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
171,"Epäröimättä hetkeekään (feat. Jenni Vartiainen)",Elastinen,7015,https://open.spotify.com/track/4T4gxNvM8EBbfxETZxxbTo
172,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,7004,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
173,"Enkelten kaupunki (Vain elämää kausi 12)","Arttu Wiskari",6972,https://open.spotify.com/track/1c3FTuxzBFQXdNIs6OjlIX
