,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Fair Trade (with Travis Scott)",Drake,73770,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
54,"Need to Know","Doja Cat",71388,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
55,"Where Are You Now","Lost Frequencies",70841,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
56,"Do It To It",ACRAZE,70218,https://open.spotify.com/track/20on25jryn53hWghthWWW3
57,"ESCAPE PLAN","Travis Scott",69907,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
58,"Praise God","Kanye West",67739,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
59,Pepas,Farruko,65145,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
60,"Last Christmas",Wham!,65036,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
61,MONEY,LISA,64992,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
62,"Happier Than Ever","Billie Eilish",62287,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
63,"It's the Most Wonderful Time of the Year","Andy Williams",62256,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
64,"Bite Me","Avril Lavigne",62178,https://open.spotify.com/track/4bNa2MHnPB7zckROAHh8mR
65,"Levitating (feat. DaBaby)","Dua Lipa",61688,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
66,"family ties (with Kendrick Lamar)","Baby Keem",61676,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
67,"When We Were Young",Adele,59496,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
68,"Fancy Like","Walker Hayes",59334,https://open.spotify.com/track/0lnpnsrVaW9elGgRxpDCgE
69,"Blinding Lights","The Weeknd",59109,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
70,"My Universe",Coldplay,58744,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
71,"Santa Tell Me","Ariana Grande",58388,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
72,Toxic,BoyWithUke,58289,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
73,"The Christmas Song (Merry Christmas To You)","Nat King Cole",58187,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
74,"I Knew You Were Trouble (Taylor's Version)","Taylor Swift",58155,https://open.spotify.com/track/6AtZLIzUINvExIUy4QhdjP
75,"Leave The Door Open","Bruno Mars",58148,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
76,"You Right","Doja Cat",57818,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
77,traitor,"Olivia Rodrigo",57770,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
78,"Message In A Bottle (Taylor's Version) (From The Vault)","Taylor Swift",56682,https://open.spotify.com/track/3z6XUommYDWPHeFhmhhT6j
79,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,56217,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
80,RAPSTAR,"Polo G",55889,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
81,"State Of Grace (Taylor's Version)","Taylor Swift",55887,https://open.spotify.com/track/6lzc0Al0zfZOIFsFvBS1ki
82,Mistletoe,"Justin Bieber",55213,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
83,Sky,"Playboi Carti",54932,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
84,"LA FAMA (with The Weeknd)",ROSALÍA,54900,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
85,"GHOST TOWN","Benson Boone",54696,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH
86,"Lil Bit (feat. Florida Georgia Line)",Nelly,54653,https://open.spotify.com/track/33aow0AcXYvT1FoWNzMcqN
87,"Someone Like You",Adele,54139,https://open.spotify.com/track/5lkpeJwmQKgY3bX2zChjxX
88,"I WANNA BE YOUR SLAVE",Måneskin,53290,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
89,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",53160,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
90,"Life Of The Party (with André 3000)","Kanye West",52807,https://open.spotify.com/track/2yBb1CRq98SSWRuDSn36SZ
91,"The Very First Night (Taylor's Version) (From The Vault)","Taylor Swift",52604,https://open.spotify.com/track/6pYNq0ZwpPVazKzsqpf0G8
92,"Someone You Loved","Lewis Capaldi",52299,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
93,"Life Goes On","Oliver Tree",51727,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
94,Acapulco,"Jason Derulo",51520,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
95,"Sweater Weather","The Neighbourhood",51142,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
96,"I Love You So","The Walters",50952,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
97,"Take My Breath","The Weeknd",50576,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
98,"22 (Taylor's Version)","Taylor Swift",50529,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP
99,"Mood (feat. iann dior)",24kGoldn,50355,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
100,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",49957,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
101,"The Motto",Tiësto,49558,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
102,"Girls Want Girls (with Lil Baby)",Drake,49398,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3
103,"Better Man (Taylor's Version) (From The Vault)","Taylor Swift",49058,https://open.spotify.com/track/4OmFmE0fzcMG6g0Y8p4eSD
104,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,48971,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
105,"Treacherous (Taylor's Version)","Taylor Swift",48801,https://open.spotify.com/track/3S7HNKPakdwNEBFIVTL6dZ
106,"Overpass Graffiti","Ed Sheeran",48658,https://open.spotify.com/track/4btFHqumCO31GksfuBLLv3
107,"Rolling in the Deep",Adele,48512,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
108,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",48307,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
109,"Feliz Navidad","José Feliciano",48016,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
110,"Holly Jolly Christmas","Michael Bublé",46938,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
111,"Doin' This","Luke Combs",46919,https://open.spotify.com/track/4GyD3o5hWoyCuYpdlzZlRL
112,"We Are Never Ever Getting Back Together (Taylor's Version)","Taylor Swift",46795,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs
113,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",46551,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
114,"drivers license","Olivia Rodrigo",46517,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
115,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",46085,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
116,"Love In The Dark",Adele,45861,https://open.spotify.com/track/0DuWDLjriRPjDRoPgaCslY
117,"Intimidated (feat. H.E.R.)",KAYTRANADA,45653,https://open.spotify.com/track/1jBKtzlwTVtCrScpiiHiKT
118,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",44880,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
119,"Before You Go","Lewis Capaldi",44853,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
120,"Get Into It (Yuh)","Doja Cat",44484,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
121,"Dark Red","Steve Lacy",44363,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
122,"Love Again","Dua Lipa",44297,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
123,"No Love (with SZA)","Summer Walker",44078,https://open.spotify.com/track/08SB2OtZkaliju77WYEKxk
124,Circles,"Post Malone",43998,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
125,"A Holly Jolly Christmas - Single Version","Burl Ives",43916,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
126,"Underneath the Tree","Kelly Clarkson",43875,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
127,Hurricane,"Kanye West",43361,https://open.spotify.com/track/6Hfu9sc7jvv6coyy2LlzBF
128,"Watermelon Sugar","Harry Styles",43202,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
129,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,43179,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
130,"Astronaut In The Ocean","Masked Wolf",42925,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
131,"Wildest Dreams (Taylor's Version)","Taylor Swift",42357,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL
132,"Dance Monkey","Tones And I",42306,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
133,"Jumpin (feat. Polo G)","NLE Choppa",42166,https://open.spotify.com/track/1z7LV5wkExwW8YJk0IrPUA
134,"No Role Modelz","J. Cole",42155,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
135,"I Almost Do (Taylor's Version)","Taylor Swift",42035,https://open.spotify.com/track/2r9CbjYgFhtAmcFv1cSquB
136,"Happier Than Ever - Edit","Billie Eilish",41724,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
137,"Save Your Tears","The Weeknd",41562,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
138,"The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)","Taylor Swift",41338,https://open.spotify.com/track/0y6kdSRCVQhSsHSpWvTUm7
139,"Buy Dirt","Jordan Davis",41222,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
140,Snowman,Sia,41166,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
141,"Wants and Needs (feat. Lil Baby)",Drake,41100,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
142,"exile (feat. Bon Iver)","Taylor Swift",41050,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
143,"Babe (Taylor's Version) (From The Vault)","Taylor Swift",40718,https://open.spotify.com/track/0v4z1tuZvn6LGknom9Qx7d
144,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick",40454,https://open.spotify.com/track/4yNoUQkYf1QF8iYlEzNynH
145,"Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)","Taylor Swift",40362,https://open.spotify.com/track/7qEUFOVcxRI19tbT68JcYK
146,"Forever Winter (Taylor's Version) (From The Vault)","Taylor Swift",40099,https://open.spotify.com/track/3oGVx9RBmiYGv5ZCecWLkx
147,"Martin & Gina","Polo G",39740,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
148,Shallow,"Lady Gaga",39623,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
149,Classic,MKTO,39610,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
150,"Dreams - 2004 Remaster","Fleetwood Mac",39093,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
151,"All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios","Taylor Swift",39088,https://open.spotify.com/track/1n3b9Eekoy3S9ZSZ5DmTW1
152,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",39014,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
153,"Mr. Brightside","The Killers",38701,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
154,"Bubbly (with Drake & Travis Scott)","Young Thug",38646,https://open.spotify.com/track/4KDNRh9Oor80z3XIxdWlui
155,"Stay Stay Stay (Taylor's Version)","Taylor Swift",38538,https://open.spotify.com/track/7eQj6r5PIdYKEIZjucBMcq
156,Memory,"Kane Brown",38526,https://open.spotify.com/track/34chhNX59Wo9HMFCsI3K8Y
157,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",38507,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
