,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,2055,"Sleepy Hallow",446491,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
54,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)","Nardo Wick",446071,https://open.spotify.com/track/4yNoUQkYf1QF8iYlEzNynH
55,"ESCAPE PLAN","Travis Scott",442657,https://open.spotify.com/track/4R67rQNSbbsR4TdUVOIdez
56,"Fair Trade (with Travis Scott)",Drake,440106,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
57,"Better Man (Taylor's Version) (From The Vault)","Taylor Swift",435704,https://open.spotify.com/track/4OmFmE0fzcMG6g0Y8p4eSD
58,"Treacherous (Taylor's Version)","Taylor Swift",432091,https://open.spotify.com/track/3S7HNKPakdwNEBFIVTL6dZ
59,"Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)","Taylor Swift",428069,https://open.spotify.com/track/4IQkfUsrwXol38VV3U7t7T
60,"Life Of The Party (with André 3000)","Kanye West",427868,https://open.spotify.com/track/2yBb1CRq98SSWRuDSn36SZ
61,Pepas,Farruko,425797,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
62,traitor,"Olivia Rodrigo",425441,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
63,"22 (Taylor's Version)","Taylor Swift",424878,https://open.spotify.com/track/3yII7UwgLF6K5zW3xad3MP
64,"You Right","Doja Cat",424224,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
65,RAPSTAR,"Polo G",423975,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
66,abcdefu,GAYLE,422338,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
67,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",416543,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
68,"I Love You So","The Walters",415447,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
69,"We Are Never Ever Getting Back Together (Taylor's Version)","Taylor Swift",392127,https://open.spotify.com/track/5YqltLsjdqFtvqE7Nrysvs
70,"When We Were Young",Adele,390003,https://open.spotify.com/track/6O5TrlFWTYvznd9fMC0VvU
71,"Levitating (feat. DaBaby)","Dua Lipa",385934,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
72,"love nwantiti (ah ah ah)",CKay,384697,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
73,Ghost,"Justin Bieber",383457,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
74,"Rockin' Around The Christmas Tree","Brenda Lee",380512,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
75,"No Role Modelz","J. Cole",379676,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
76,"Get Into It (Yuh)","Doja Cat",378791,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
